jornada,dirección,correo,teléfono,horario de atención,nombre,idx,dane
"Mañana, Tarde, Nocturna",Carrera  16 C No.  62 - 35 SUR,cedguillermocanoi19@educacionbogota.edu.co,7650665 / 7661134,Jornada Mañana: de 6:10 a.m. a 12:10 p.m. - Jornada Tarde: de 12:20 p.m. a 6:20 p.m.  - Jornada Nocturna: de 6:30 p.m. a 10:00 p.m.,COLEGIO TÉCNICO CEDID GUILLERMO CANO ISAZA (IED),13,"111001044385, 111001044385"
"Mañana, Tarde",KR 17 F # 73 A - 31 SUR,iedantoniogarcia@educacionbogota.edu.co,7663708/09,,COLEGIO ANTONIO GARCIA (IED),13,"111001107859, 111001107859"
"Mañana, Tarde",KR 92 # 72 - 42 SUR,iedleoposaped@educacionbogota.edu.co,7234586 / 7234587,,COLEGIO LEONARDO POSADA PEDRAZA (IED),13,"111001104183, 111001104183"
"Mañana, Tarde",CL 61 SUR # 80 I - 40,escdifranciscodepa7@educacionbogota.edu.co,7750473 / 7807236,,COLEGIO FRANCISCO DE PAULA SANTANDER (IED),13,"111102000621, 111102000621"
"Mañana, Tarde, Jornada única",KR 10 A # 3 - 63 SUR,cedjaimepardoleal15@educacionbogota.edu.co,2461459,8:00 a 4:00 p.m.,COLEGIO TECNICO JAIME PARDO LEAL (IED),13,"111001086720, 111001086720"
"Mañana, Tarde, Nocturna",DG 48 B SUR # 24 B - 73,coldijosemariacord6@educacionbogota.edu.co,7692587 / 7698420,,COLEGIO CENTRO INTEGRAL JOSE MARIA CORDOBA (IED),13,"111001009652, 111001009652"
"Mañana, Tarde, Nocturna, Jornada única",AV CARACAS # 23 - 24 SUR,lfemeninocund@educacionbogota.edu.co,6012726302 / 6012392741,8:00 a 15:00pm,COLEGIO LICEO FEMENINO DE CUNDINAMARCA MERCEDES NARIÑO (IED),13,"111001011819, 111001011819"
Jornada única,Carrera 1 C este # 6 C - 85 Sur barrio Buenos Aires,coldirepdelecuador4@educacionbogota.edu.co,,6:30 a.m. - 3:30 p.m.,COLEGIO REPÚBLICA DEL ECUADOR (IED),13,"111001032433, 111001032433"
"Mañana, Tarde, Nocturna",KR 77 A # 67 - 17,coldiantonionarino10@educacionbogota.edu.co,,,COLEGIO ANTONIO NARIÑO (IED),13,"111001006483, 111001006483"
"Mañana, Tarde, Jornada única",CL 127 C # 9 A - 03,colescoloniaescola1@educacionbogota.edu.co,3043999111,,COLEGIO USAQUEN (IED),13,"111848002662, 111848002662"
"Mañana, Tarde, Jornada única",Carrera 88 I 54 F-17 SUR Barrio El Portal de Brasil,col.laura.herreradevarela@educacionbogota.edu.co,,,COLEGIO LAURA HERRERA DE VARELA IED,13,"111001801101, 111001801101"
Jornada única,KR 72 L # 34 - 19 SUR,cedoea8@educacionbogota.edu.co,4527015/16 -- 5630829,,COLEGIO O.E.A. (IED),13,"111001015601, 111001015601"
"Mañana, Tarde",KR 45 C # 69 D - 15 SUR,,7168781  / 7312296,,COLEGIO EL PARAISO DE MANUELA BELTRAN (IED),13,"111001045730, 111001045730"
,,,,,Revista de Investigación y experiencias pedagógicas emergentes,13,
Jornada única,AK 27 # 7 - 48,cedricaurte14@educacionbogota.edu.co,2475199 / 3600205,,COLEGIO RICAURTE (IED),13,"111001041459, 111001041459"
,,,,,Sede A,13,
,,,,,Sede B,13,
"Mañana, Jornada única",Km 15 al km 24 vía san juan de sumapaz,cedlamayoria5@educacionbogota.edu.co,3043989823,,COLEGIOS RURALES USME ALTO - CRUA,13,
"Mañana, Tarde",CL 1 H # 40 D - 13,cedeljazmin16@educacionbogota.edu.co,7209506,,COLEGIO EL JAZMIN (IED),13,"111001012530, 111001012530"
,,,,,Técnico Menorah Solicitante Bachillerato Internacional,14,
"Mañana, Tarde",SEDE A  Calle 51 sur 91D- 56      SEDE B Calle 58 SUR # 104 A - 50,cedelporvenir7@educacionbogota.edu.co,7845372 - 7837165,,COLEGIO EL PORVENIR (IED),14,"211102000243, 211102000243"
"Mañana, Tarde",CL 104 SUR # 14 - 90,cedbrazuelos5@educacionbogota.edu.co,,,COLEGIO BRAZUELOS (IED),14,"211850000931, 211850000931"
Jornada única,KR 88 C # 43 - 53 SUR,collasmargaritas8@educacionbogota.edu.co,3016733388,,COLEGIO LAS MARGARITAS (IED),14,"111001800431, 111001800431"
"Mañana, Tarde, Nocturna",Carrera 10A 39-05 Sur,cedmisaelpastrana18@educacionbogota.gov.co,6012725684 - 6012391691,,Colegio Misael Pastrana Borrero IED,14,"111001020095, 111001020095"
"Mañana, Tarde, Jornada única","Cl. 76b Sur #13 76, Bogotá",cednvaesperanza5@educacionbogota.edu.co,7400914/7405947,lunes miércoles y viernes 8:30a.m. a 11:45a.m.,Colegio Nueva Esperanza (IED),14,"11100124647, 11100124647"
Jornada única,"Calle 19 No 79-37, Fontibón, Colombia",colfelicidad9@educacionbogota.edu.co,+57 305 8141739,7:00 am - 2:00 pm,Colegio La Felicidad (IED),14,"111001800091, 111001800091"
,,,,,Colegio Jairo Aníbal Niño,14,
Jornada única,CL 64 SUR # 10 A - 39 ESTE,cedlabelleza4@educacionbogota.edu.co,"6013654700, 6013654800 / Fax: 6013654800",,COLEGIO LA BELLEZA LOS LIBERTADORES (IED),14,"111001016004, 111001016004"
"Mañana, Tarde, Jornada única",CL 74 A SUR # 17 - 49 ESTE,colsancayetano5@educacionbogota.edu.co,3002722353,,COLEGIO SAN CAYETANO (IED),14,"111001098833, 111001098833"
"Mañana, Tarde",Calle 63 sur # 97B-25,col.ciudadelaelrecreo.soniaosoriodsm@educacionbogota.edu.co,,,COLEGIO CIUDADELA EL RECREO SONIA OSORIO DE SAINT-MALO (IED),14,"111001801098, 111001801098"
"Mañana, Tarde, Jornada única",Sede A  CL 16 F BIS # 102 - 70      Sede B  CL 16J# 99-95 Fontibón centro,colpabloneruda@educacionbogota.edu.co,,Lunes a viernes de 8:00 - 1:00 pm,COLEGIO PABLO NERUDA (IED),14,"111001102199, 111001102199"
